Epoch 27: train_loss 9.0189, train_text_loss 8.3416, val_loss 8.9607, val_text_loss 8.2651, train_acc 0.5679, val_acc 0.5714
Epoch 28: train_loss 8.9763, train_text_loss 8.2648, val_loss 8.9013, val_text_loss 8.1856, train_acc 0.5432, val_acc 0.5714
Epoch 29: train_loss 8.8166, train_text_loss 8.1820, val_loss 8.7580, val_text_loss 8.1012, train_acc 0.6296, val_acc 0.5000
Epoch 30: train_loss 8.8271, train_text_loss 8.1025, val_loss 8.7218, val_text_loss 8.0235, train_acc 0.6296, val_acc 0.6786
Epoch 31: train_loss 8.6773, train_text_loss 8.0194, val_loss 8.5990, val_text_loss 7.9473, train_acc 0.6049, val_acc 0.6429
Epoch 32: train_loss 8.6940, train_text_loss 7.9435, val_loss 8.5764, val_text_loss 7.8786, train_acc 0.6173, val_acc 0.6786
Epoch 33: train_loss 8.5126, train_text_loss 7.8787, val_loss 8.5257, val_text_loss 7.8124, train_acc 0.6049, val_acc 0.5714
Epoch 34: train_loss 8.4899, train_text_loss 7.8121, val_loss 8.3848, val_text_loss 7.7345, train_acc 0.4938, val_acc 0.4643
Epoch 35: train_loss 8.3425, train_text_loss 7.7375, val_loss 8.3251, val_text_loss 7.6642, train_acc 0.6543, val_acc 0.6071
Epoch 36: train_loss 8.3073, train_text_loss 7.6595, val_loss 8.2270, val_text_loss 7.5875, train_acc 0.5556, val_acc 0.6429
Epoch 37: train_loss 8.2882, train_text_loss 7.5868, val_loss 8.2145, val_text_loss 7.5180, train_acc 0.6296, val_acc 0.5000
Epoch 38: train_loss 8.1239, train_text_loss 7.5054, val_loss 8.2053, val_text_loss 7.4357, train_acc 0.7037, val_acc 0.4286
Epoch 39: train_loss 8.0276, train_text_loss 7.4308, val_loss 8.0309, val_text_loss 7.3631, train_acc 0.7407, val_acc 0.5357
Epoch 40: train_loss 7.9724, train_text_loss 7.3594, val_loss 8.0015, val_text_loss 7.2896, train_acc 0.6420, val_acc 0.6429
Epoch 41: train_loss 7.9651, train_text_loss 7.2892, val_loss 7.8850, val_text_loss 7.2231, train_acc 0.5679, val_acc 0.5357
Epoch 42: train_loss 7.8346, train_text_loss 7.2247, val_loss 7.9249, val_text_loss 7.1617, train_acc 0.6543, val_acc 0.5357
Epoch 43: train_loss 7.8046, train_text_loss 7.1575, val_loss 7.9174, val_text_loss 7.1044, train_acc 0.6173, val_acc 0.5000
Epoch 44: train_loss 7.7083, train_text_loss 7.1086, val_loss 7.7236, val_text_loss 7.0492, train_acc 0.6543, val_acc 0.5357
Epoch 45: train_loss 7.6590, train_text_loss 7.0417, val_loss 7.6893, val_text_loss 6.9898, train_acc 0.6790, val_acc 0.5714
Epoch 46: train_loss 7.7220, train_text_loss 6.9873, val_loss 7.6377, val_text_loss 6.9363, train_acc 0.6296, val_acc 0.5714
Epoch 47: train_loss 7.5301, train_text_loss 6.9239, val_loss 7.6112, val_text_loss 6.8851, train_acc 0.6173, val_acc 0.4286
Epoch 48: train_loss 7.4994, train_text_loss 6.8713, val_loss 7.6304, val_text_loss 6.8209, train_acc 0.6790, val_acc 0.3571
Epoch 49: train_loss 7.5250, train_text_loss 6.8125, val_loss 7.5204, val_text_loss 6.7705, train_acc 0.6049, val_acc 0.6071
Epoch 50: train_loss 7.3228, train_text_loss 6.7575, val_loss 7.4734, val_text_loss 6.7169, train_acc 0.6420, val_acc 0.5357
Epoch 51: train_loss 7.3038, train_text_loss 6.7092, val_loss 7.3606, val_text_loss 6.6619, train_acc 0.7037, val_acc 0.6071
Epoch 52: train_loss 7.2981, train_text_loss 6.6516, val_loss 7.3406, val_text_loss 6.6026, train_acc 0.6173, val_acc 0.4286
Epoch 53: train_loss 7.2227, train_text_loss 6.5901, val_loss 7.3319, val_text_loss 6.5471, train_acc 0.6173, val_acc 0.4286
Epoch 54: train_loss 7.3053, train_text_loss 6.5506, val_loss 7.2245, val_text_loss 6.4936, train_acc 0.5802, val_acc 0.5357
Epoch 55: train_loss 7.1365, train_text_loss 6.4885, val_loss 7.1485, val_text_loss 6.4394, train_acc 0.6543, val_acc 0.5000
Epoch 56: train_loss 7.0431, train_text_loss 6.4361, val_loss 7.1127, val_text_loss 6.3889, train_acc 0.6420, val_acc 0.5000
Epoch 57: train_loss 7.0074, train_text_loss 6.3797, val_loss 7.0539, val_text_loss 6.3455, train_acc 0.6420, val_acc 0.5357
Epoch 58: train_loss 6.9883, train_text_loss 6.3342, val_loss 7.0204, val_text_loss 6.2973, train_acc 0.6296, val_acc 0.6071
Epoch 59: train_loss 6.9009, train_text_loss 6.2773, val_loss 6.9466, val_text_loss 6.2390, train_acc 0.6667, val_acc 0.5357
Epoch 60: train_loss 6.8452, train_text_loss 6.2317, val_loss 7.0361, val_text_loss 6.1958, train_acc 0.6296, val_acc 0.4643
Epoch 61: train_loss 6.8451, train_text_loss 6.1774, val_loss 6.8470, val_text_loss 6.1446, train_acc 0.5926, val_acc 0.5000
Epoch 62: train_loss 6.7286, train_text_loss 6.1348, val_loss 6.7868, val_text_loss 6.1062, train_acc 0.6296, val_acc 0.5000
Epoch 63: train_loss 6.7418, train_text_loss 6.0948, val_loss 6.8162, val_text_loss 6.0615, train_acc 0.7037, val_acc 0.6429
Epoch 64: train_loss 6.8153, train_text_loss 6.0670, val_loss 6.7410, val_text_loss 6.0339, train_acc 0.6543, val_acc 0.4643
Epoch 65: train_loss 6.6539, train_text_loss 6.0212, val_loss 6.8163, val_text_loss 5.9903, train_acc 0.6173, val_acc 0.4643
Epoch 66: train_loss 6.6346, train_text_loss 5.9804, val_loss 6.7517, val_text_loss 5.9563, train_acc 0.6049, val_acc 0.5000
Epoch 67: train_loss 6.6057, train_text_loss 5.9542, val_loss 6.6714, val_text_loss 5.9169, train_acc 0.6667, val_acc 0.5000
Epoch 68: train_loss 6.5526, train_text_loss 5.9056, val_loss 6.6256, val_text_loss 5.8839, train_acc 0.6296, val_acc 0.5000
Epoch 69: train_loss 6.4408, train_text_loss 5.8675, val_loss 6.5515, val_text_loss 5.8459, train_acc 0.7160, val_acc 0.5357
Epoch 70: train_loss 6.4165, train_text_loss 5.8313, val_loss 6.5686, val_text_loss 5.8185, train_acc 0.6543, val_acc 0.5357
Epoch 71: train_loss 6.4256, train_text_loss 5.7935, val_loss 6.4991, val_text_loss 5.7810, train_acc 0.6296, val_acc 0.5357
Epoch 72: train_loss 6.3576, train_text_loss 5.7572, val_loss 6.4971, val_text_loss 5.7516, train_acc 0.6420, val_acc 0.5000
Epoch 73: train_loss 6.3116, train_text_loss 5.7207, val_loss 6.4549, val_text_loss 5.7109, train_acc 0.6790, val_acc 0.5000
Epoch 74: train_loss 6.2434, train_text_loss 5.6981, val_loss 6.3877, val_text_loss 5.6744, train_acc 0.6667, val_acc 0.5000
Epoch 75: train_loss 6.2531, train_text_loss 5.6542, val_loss 6.4715, val_text_loss 5.6420, train_acc 0.7037, val_acc 0.5000
Epoch 76: train_loss 6.3090, train_text_loss 5.6257, val_loss 6.3648, val_text_loss 5.6112, train_acc 0.6296, val_acc 0.5000
Epoch 77: train_loss 6.1715, train_text_loss 5.6001, val_loss 6.3484, val_text_loss 5.5789, train_acc 0.7160, val_acc 0.5357
Epoch 78: train_loss 6.1694, train_text_loss 5.5493, val_loss 6.3088, val_text_loss 5.5493, train_acc 0.7037, val_acc 0.5357
Epoch 79: train_loss 6.2047, train_text_loss 5.5433, val_loss 6.3784, val_text_loss 5.5227, train_acc 0.6543, val_acc 0.3929
Epoch 80: train_loss 6.1187, train_text_loss 5.5022, val_loss 6.3314, val_text_loss 5.5135, train_acc 0.6049, val_acc 0.4643
Epoch 81: train_loss 6.0485, train_text_loss 5.4701, val_loss 6.2025, val_text_loss 5.4672, train_acc 0.6790, val_acc 0.6071
Epoch 82: train_loss 6.0943, train_text_loss 5.4461, val_loss 6.2053, val_text_loss 5.4493, train_acc 0.6296, val_acc 0.6071
Epoch 83: train_loss 6.0935, train_text_loss 5.4347, val_loss 6.2280, val_text_loss 5.4390, train_acc 0.6420, val_acc 0.5714
Epoch 84: train_loss 6.0228, train_text_loss 5.4281, val_loss 6.2244, val_text_loss 5.4036, train_acc 0.7654, val_acc 0.4643
Epoch 85: train_loss 6.0156, train_text_loss 5.3955, val_loss 6.3486, val_text_loss 5.3773, train_acc 0.6667, val_acc 0.3929
Epoch 86: train_loss 5.9676, train_text_loss 5.3565, val_loss 6.2208, val_text_loss 5.3658, train_acc 0.6296, val_acc 0.4643
Epoch 87: train_loss 5.9122, train_text_loss 5.3342, val_loss 6.1545, val_text_loss 5.3462, train_acc 0.7160, val_acc 0.5000
Epoch 88: train_loss 5.9803, train_text_loss 5.3226, val_loss 6.1428, val_text_loss 5.3148, train_acc 0.6420, val_acc 0.4643
Epoch 89: train_loss 5.8538, train_text_loss 5.2932, val_loss 6.1427, val_text_loss 5.2900, train_acc 0.7160, val_acc 0.4643
Epoch 90: train_loss 5.8398, train_text_loss 5.2675, val_loss 6.1155, val_text_loss 5.2815, train_acc 0.6790, val_acc 0.4643
Epoch 91: train_loss 5.8834, train_text_loss 5.2635, val_loss 6.0694, val_text_loss 5.2606, train_acc 0.7037, val_acc 0.5000
Epoch 92: train_loss 5.8364, train_text_loss 5.2534, val_loss 6.0346, val_text_loss 5.2473, train_acc 0.7037, val_acc 0.5000
Epoch 93: train_loss 5.8603, train_text_loss 5.2215, val_loss 6.0988, val_text_loss 5.2427, train_acc 0.6296, val_acc 0.4643
Epoch 94: train_loss 5.7436, train_text_loss 5.1918, val_loss 5.9504, val_text_loss 5.2062, train_acc 0.6667, val_acc 0.5357
Epoch 95: train_loss 5.8377, train_text_loss 5.1799, val_loss 6.1455, val_text_loss 5.1983, train_acc 0.6049, val_acc 0.5714
Epoch 96: train_loss 5.7639, train_text_loss 5.1585, val_loss 5.9222, val_text_loss 5.1673, train_acc 0.6790, val_acc 0.6071
Epoch 97: train_loss 5.7154, train_text_loss 5.1439, val_loss 5.9855, val_text_loss 5.1701, train_acc 0.6914, val_acc 0.5000
Epoch 98: train_loss 5.7651, train_text_loss 5.1296, val_loss 5.9804, val_text_loss 5.1430, train_acc 0.6914, val_acc 0.5000
Epoch 99: train_loss 5.7796, train_text_loss 5.1299, val_loss 5.9490, val_text_loss 5.1353, train_acc 0.6543, val_acc 0.5357
Epoch 100: train_loss 5.7649, train_text_loss 5.1203, val_loss 5.8296, val_text_loss 5.0997, train_acc 0.6667, val_acc 0.6071
Epoch 101: train_loss 5.7996, train_text_loss 5.0946, val_loss 5.8182, val_text_loss 5.0974, train_acc 0.6790, val_acc 0.5714
Epoch 102: train_loss 5.6639, train_text_loss 5.0594, val_loss 5.8345, val_text_loss 5.0667, train_acc 0.6790, val_acc 0.4643
Epoch 103: train_loss 5.5983, train_text_loss 5.0382, val_loss 5.7749, val_text_loss 5.0618, train_acc 0.6296, val_acc 0.5714
Epoch 104: train_loss 5.6766, train_text_loss 5.0165, val_loss 5.8397, val_text_loss 5.0482, train_acc 0.6790, val_acc 0.5714
Epoch 105: train_loss 5.6575, train_text_loss 4.9925, val_loss 5.7055, val_text_loss 5.0099, train_acc 0.6296, val_acc 0.5357
Epoch 106: train_loss 5.5861, train_text_loss 4.9818, val_loss 5.8745, val_text_loss 5.0061, train_acc 0.6420, val_acc 0.3929
Epoch 107: train_loss 5.5747, train_text_loss 4.9739, val_loss 5.6742, val_text_loss 4.9822, train_acc 0.6914, val_acc 0.5714
Epoch 108: train_loss 5.5308, train_text_loss 4.9631, val_loss 5.6277, val_text_loss 4.9600, train_acc 0.7531, val_acc 0.6071
Epoch 109: train_loss 5.6064, train_text_loss 4.9491, val_loss 5.6499, val_text_loss 4.9461, train_acc 0.6543, val_acc 0.6429
Epoch 110: train_loss 5.5723, train_text_loss 4.9400, val_loss 5.6726, val_text_loss 4.9323, train_acc 0.7037, val_acc 0.4643
Epoch 111: train_loss 5.4662, train_text_loss 4.8995, val_loss 5.6001, val_text_loss 4.9092, train_acc 0.7654, val_acc 0.5714
Epoch 112: train_loss 5.4453, train_text_loss 4.8772, val_loss 5.5622, val_text_loss 4.8910, train_acc 0.7037, val_acc 0.6071
Epoch 113: train_loss 5.4575, train_text_loss 4.8817, val_loss 5.5802, val_text_loss 4.8756, train_acc 0.6667, val_acc 0.6071
Epoch 114: train_loss 5.5085, train_text_loss 4.8820, val_loss 5.5836, val_text_loss 4.8681, train_acc 0.6049, val_acc 0.5714
Epoch 115: train_loss 5.4648, train_text_loss 4.8475, val_loss 5.6740, val_text_loss 4.8529, train_acc 0.6790, val_acc 0.4643
Epoch 116: train_loss 5.5063, train_text_loss 4.8443, val_loss 5.5489, val_text_loss 4.8227, train_acc 0.6173, val_acc 0.5357
Epoch 117: train_loss 5.3777, train_text_loss 4.8132, val_loss 5.5757, val_text_loss 4.8037, train_acc 0.7407, val_acc 0.5000
Epoch 118: train_loss 5.4465, train_text_loss 4.8205, val_loss 5.5514, val_text_loss 4.7926, train_acc 0.6543, val_acc 0.5357
Epoch 119: train_loss 5.3851, train_text_loss 4.7913, val_loss 5.6302, val_text_loss 4.7651, train_acc 0.6667, val_acc 0.4286
Epoch 120: train_loss 5.3194, train_text_loss 4.7427, val_loss 5.5792, val_text_loss 4.7594, train_acc 0.6914, val_acc 0.4286
Epoch 121: train_loss 5.3276, train_text_loss 4.7247, val_loss 5.5236, val_text_loss 4.7448, train_acc 0.7160, val_acc 0.5357
Epoch 122: train_loss 5.3318, train_text_loss 4.7146, val_loss 5.6077, val_text_loss 4.7377, train_acc 0.7037, val_acc 0.5357
Epoch 123: train_loss 5.2320, train_text_loss 4.6908, val_loss 5.4954, val_text_loss 4.7082, train_acc 0.7407, val_acc 0.5000
Epoch 124: train_loss 5.2671, train_text_loss 4.6727, val_loss 5.5007, val_text_loss 4.6842, train_acc 0.6296, val_acc 0.5000
Epoch 125: train_loss 5.1997, train_text_loss 4.6489, val_loss 5.5255, val_text_loss 4.6743, train_acc 0.7037, val_acc 0.4286
Epoch 126: train_loss 5.1707, train_text_loss 4.6381, val_loss 5.4606, val_text_loss 4.6584, train_acc 0.7778, val_acc 0.4643
Epoch 127: train_loss 5.1708, train_text_loss 4.6455, val_loss 5.3886, val_text_loss 4.6333, train_acc 0.7407, val_acc 0.5714
Epoch 128: train_loss 5.2309, train_text_loss 4.6203, val_loss 5.3760, val_text_loss 4.6195, train_acc 0.7284, val_acc 0.5714
