Epoch 28: train_loss 8.9447, train_text_loss 8.2476, val_loss 8.8600, val_text_loss 8.1692, train_acc 0.6049, val_acc 0.5714
Epoch 29: train_loss 8.7993, train_text_loss 8.1649, val_loss 8.7414, val_text_loss 8.0854, train_acc 0.6296, val_acc 0.5357
Epoch 30: train_loss 8.8152, train_text_loss 8.0856, val_loss 8.6900, val_text_loss 8.0077, train_acc 0.5926, val_acc 0.6429
Epoch 31: train_loss 8.6672, train_text_loss 8.0030, val_loss 8.5809, val_text_loss 7.9323, train_acc 0.5926, val_acc 0.6429
Epoch 32: train_loss 8.6928, train_text_loss 7.9290, val_loss 8.5650, val_text_loss 7.8653, train_acc 0.6049, val_acc 0.6786
Epoch 33: train_loss 8.4996, train_text_loss 7.8667, val_loss 8.5171, val_text_loss 7.8021, train_acc 0.6173, val_acc 0.6071
Epoch 34: train_loss 8.4806, train_text_loss 7.8012, val_loss 8.3827, val_text_loss 7.7245, train_acc 0.4938, val_acc 0.5000
Epoch 35: train_loss 8.3442, train_text_loss 7.7267, val_loss 8.3134, val_text_loss 7.6534, train_acc 0.6543, val_acc 0.5714
Epoch 36: train_loss 8.2947, train_text_loss 7.6492, val_loss 8.2124, val_text_loss 7.5773, train_acc 0.6049, val_acc 0.6071
Epoch 37: train_loss 8.2920, train_text_loss 7.5776, val_loss 8.1829, val_text_loss 7.5072, train_acc 0.6049, val_acc 0.5714
Epoch 38: train_loss 8.1175, train_text_loss 7.4975, val_loss 8.1450, val_text_loss 7.4297, train_acc 0.6543, val_acc 0.5000
Epoch 39: train_loss 8.0197, train_text_loss 7.4237, val_loss 7.9943, val_text_loss 7.3565, train_acc 0.7284, val_acc 0.6071
Epoch 40: train_loss 7.9756, train_text_loss 7.3530, val_loss 7.9909, val_text_loss 7.2925, train_acc 0.6173, val_acc 0.6786
Epoch 41: train_loss 7.9485, train_text_loss 7.2836, val_loss 7.8777, val_text_loss 7.2234, train_acc 0.5679, val_acc 0.5357
Epoch 42: train_loss 7.8127, train_text_loss 7.2191, val_loss 7.9208, val_text_loss 7.1639, train_acc 0.6914, val_acc 0.5000
Epoch 43: train_loss 7.8102, train_text_loss 7.1528, val_loss 7.9147, val_text_loss 7.1062, train_acc 0.5556, val_acc 0.4643
Epoch 44: train_loss 7.7130, train_text_loss 7.1046, val_loss 7.6975, val_text_loss 7.0528, train_acc 0.6914, val_acc 0.5714
Epoch 45: train_loss 7.6324, train_text_loss 7.0385, val_loss 7.6585, val_text_loss 6.9944, train_acc 0.6914, val_acc 0.5357
Epoch 46: train_loss 7.7022, train_text_loss 6.9854, val_loss 7.6342, val_text_loss 6.9575, train_acc 0.6173, val_acc 0.5357
Epoch 47: train_loss 7.5205, train_text_loss 6.9216, val_loss 7.5760, val_text_loss 6.8873, train_acc 0.5802, val_acc 0.4286
Epoch 48: train_loss 7.4676, train_text_loss 6.8696, val_loss 7.5581, val_text_loss 6.8254, train_acc 0.7160, val_acc 0.5357
Epoch 49: train_loss 7.5006, train_text_loss 6.8112, val_loss 7.5067, val_text_loss 6.7781, train_acc 0.6296, val_acc 0.5714
Epoch 50: train_loss 7.3361, train_text_loss 6.7566, val_loss 7.4390, val_text_loss 6.7160, train_acc 0.6667, val_acc 0.5714
Epoch 51: train_loss 7.3087, train_text_loss 6.7090, val_loss 7.3162, val_text_loss 6.6613, train_acc 0.7160, val_acc 0.6071
Epoch 52: train_loss 7.2571, train_text_loss 6.6523, val_loss 7.2815, val_text_loss 6.6067, train_acc 0.6543, val_acc 0.4643
Epoch 53: train_loss 7.2142, train_text_loss 6.5927, val_loss 7.2387, val_text_loss 6.5545, train_acc 0.6173, val_acc 0.5357
Epoch 54: train_loss 7.3494, train_text_loss 6.5555, val_loss 7.1725, val_text_loss 6.5002, train_acc 0.5556, val_acc 0.6071
Epoch 55: train_loss 7.1276, train_text_loss 6.4959, val_loss 7.1044, val_text_loss 6.4527, train_acc 0.6667, val_acc 0.5357
Epoch 56: train_loss 7.0562, train_text_loss 6.4470, val_loss 7.0765, val_text_loss 6.4041, train_acc 0.6173, val_acc 0.4643
Epoch 57: train_loss 7.0414, train_text_loss 6.3932, val_loss 7.0293, val_text_loss 6.3608, train_acc 0.6914, val_acc 0.5714
Epoch 58: train_loss 6.9744, train_text_loss 6.3501, val_loss 6.9976, val_text_loss 6.3129, train_acc 0.6667, val_acc 0.6429
Epoch 59: train_loss 6.9273, train_text_loss 6.2956, val_loss 6.9300, val_text_loss 6.2616, train_acc 0.6790, val_acc 0.5000
Epoch 60: train_loss 6.8526, train_text_loss 6.2526, val_loss 7.0633, val_text_loss 6.2184, train_acc 0.6667, val_acc 0.4643
Epoch 61: train_loss 6.8910, train_text_loss 6.2001, val_loss 6.8988, val_text_loss 6.1663, train_acc 0.5802, val_acc 0.4643
Epoch 62: train_loss 6.7879, train_text_loss 6.1616, val_loss 6.7906, val_text_loss 6.1364, train_acc 0.5802, val_acc 0.6786
Epoch 63: train_loss 6.7758, train_text_loss 6.1225, val_loss 6.8127, val_text_loss 6.0902, train_acc 0.6914, val_acc 0.6786
Epoch 64: train_loss 6.8620, train_text_loss 6.0957, val_loss 6.7204, val_text_loss 6.0685, train_acc 0.6420, val_acc 0.5714
Epoch 65: train_loss 6.6983, train_text_loss 6.0522, val_loss 6.7678, val_text_loss 6.0121, train_acc 0.6296, val_acc 0.5357
Epoch 66: train_loss 6.6455, train_text_loss 6.0094, val_loss 6.7133, val_text_loss 5.9841, train_acc 0.6049, val_acc 0.5000
Epoch 67: train_loss 6.6021, train_text_loss 5.9819, val_loss 6.6301, val_text_loss 5.9470, train_acc 0.6667, val_acc 0.4643
Epoch 68: train_loss 6.5834, train_text_loss 5.9315, val_loss 6.5815, val_text_loss 5.9065, train_acc 0.6173, val_acc 0.5357
Epoch 69: train_loss 6.4498, train_text_loss 5.8920, val_loss 6.5386, val_text_loss 5.8668, train_acc 0.7037, val_acc 0.6071
Epoch 70: train_loss 6.4501, train_text_loss 5.8537, val_loss 6.5375, val_text_loss 5.8391, train_acc 0.6420, val_acc 0.5357
Epoch 71: train_loss 6.4517, train_text_loss 5.8136, val_loss 6.4845, val_text_loss 5.8001, train_acc 0.6420, val_acc 0.5357
Epoch 72: train_loss 6.3614, train_text_loss 5.7762, val_loss 6.4699, val_text_loss 5.7707, train_acc 0.6420, val_acc 0.5714
Epoch 73: train_loss 6.3193, train_text_loss 5.7386, val_loss 6.4033, val_text_loss 5.7266, train_acc 0.7037, val_acc 0.5714
Epoch 74: train_loss 6.2433, train_text_loss 5.7147, val_loss 6.3670, val_text_loss 5.6976, train_acc 0.7160, val_acc 0.5714
Epoch 75: train_loss 6.2567, train_text_loss 5.6701, val_loss 6.3909, val_text_loss 5.6590, train_acc 0.7037, val_acc 0.5357
Epoch 76: train_loss 6.3267, train_text_loss 5.6406, val_loss 6.3300, val_text_loss 5.6318, train_acc 0.6543, val_acc 0.6071
Epoch 77: train_loss 6.1830, train_text_loss 5.6150, val_loss 6.3095, val_text_loss 5.5972, train_acc 0.7284, val_acc 0.6071
Epoch 78: train_loss 6.1595, train_text_loss 5.5643, val_loss 6.2742, val_text_loss 5.5650, train_acc 0.7037, val_acc 0.5714
Epoch 79: train_loss 6.2393, train_text_loss 5.5574, val_loss 6.3023, val_text_loss 5.5408, train_acc 0.6543, val_acc 0.4643
Epoch 80: train_loss 6.1085, train_text_loss 5.5163, val_loss 6.2510, val_text_loss 5.5274, train_acc 0.6173, val_acc 0.5357
Epoch 81: train_loss 6.1054, train_text_loss 5.4828, val_loss 6.1322, val_text_loss 5.4765, train_acc 0.6543, val_acc 0.5714
Epoch 82: train_loss 6.0975, train_text_loss 5.4579, val_loss 6.1330, val_text_loss 5.4569, train_acc 0.6049, val_acc 0.6071
Epoch 83: train_loss 6.1007, train_text_loss 5.4454, val_loss 6.1565, val_text_loss 5.4480, train_acc 0.6049, val_acc 0.6071
Epoch 84: train_loss 6.0719, train_text_loss 5.4379, val_loss 6.1331, val_text_loss 5.4137, train_acc 0.7160, val_acc 0.5714
Epoch 85: train_loss 6.0567, train_text_loss 5.4049, val_loss 6.2557, val_text_loss 5.3857, train_acc 0.5556, val_acc 0.5000
Epoch 86: train_loss 6.0130, train_text_loss 5.3660, val_loss 6.1755, val_text_loss 5.3732, train_acc 0.6173, val_acc 0.5000
Epoch 87: train_loss 5.9246, train_text_loss 5.3434, val_loss 6.0493, val_text_loss 5.3548, train_acc 0.7407, val_acc 0.6071
Epoch 88: train_loss 5.9555, train_text_loss 5.3308, val_loss 6.0200, val_text_loss 5.3195, train_acc 0.6667, val_acc 0.6071
Epoch 89: train_loss 5.8648, train_text_loss 5.3015, val_loss 6.0530, val_text_loss 5.2997, train_acc 0.7160, val_acc 0.5357
Epoch 90: train_loss 5.8565, train_text_loss 5.2757, val_loss 6.1364, val_text_loss 5.2867, train_acc 0.7531, val_acc 0.5000
Epoch 91: train_loss 5.8753, train_text_loss 5.2709, val_loss 6.0636, val_text_loss 5.2647, train_acc 0.7037, val_acc 0.5000
Epoch 92: train_loss 5.8705, train_text_loss 5.2612, val_loss 5.9598, val_text_loss 5.2525, train_acc 0.6667, val_acc 0.5714
